127.0.0.1 - - [05/May/2022:21:39:43 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/tour/js/typed.js HTTP/1.1" 200 11662
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/tour/js/custom.js HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/bootstrap.bundle.min.js HTTP/1.1" 200 78134
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/tiny-slider.js HTTP/1.1" 200 99867
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/flatpickr.min.js HTTP/1.1" 200 49670
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/glightbox.min.js HTTP/1.1" 200 54228
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/aos.js HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/counter.js HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/blogy/js/custom.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/property/js/tiny-slider.js HTTP/1.1" 200 99867
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/property/js/aos.js HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/property/js/navbar.js HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/property/js/counter.js HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:17 +0900] "GET /resources/assets/property/js/custom.js HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/tour/images/hero-slider-2.jpg HTTP/1.1" 200 39741
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/homespace/images/property_2-min.jpg HTTP/1.1" 200 189376
